Name,Summary
Law & Order: Special Victims Unit,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories."
Bob's Burgers,"The series follows Bob who runs Bob's Burgers, with the help of his wife and their three kids. Bob has big ideas about burgers, but the rest of the clan falls short on service. Despite the greasy counters and lousy location, the Belchers are determined to make every ""Grand Re-Re-Re-opening"" a success. Bob's wife, Linda, stands by her man and often does so by bursting into song. Their eldest daughter, 13-year-old Tina has a slight obsession with boys and zombies. Middle child Gene is an aspiring musician with a thirst for life. Louise is the bunny ears-wearing youngest daughter with an off-kilter sense of humor that makes her somewhat of a liability in the kitchen – and with the public."
Cranford,"A rich and comic drama about the people of Cranford, a small Cheshire town on the cusp of change in the 1840s. Adapted from the novels by Elizabeth Gaskell."
Commander in Chief,"Mackenzie Allen, the 45-year-old Independent Vice President of the United States, is about to venture into territory no woman has entered before. While at an official ceremony with husband and Chief of Staff, Rod Allen, she is informed by the President's Chief of Staff, Jim Gardner, and the Attorney General that President Bridges is about to undergo emergency brain surgery for a tumor."
Saving Grace,Holly Hunter stars as a detective who kills a man in a drunken car crash and is given a second chance at life from an angel.
The Lost World,"Determined to prove the existence of The Lost World, dashing adventurer and scholar Professor Edward Challenger mounts a British expedition team consisting of a mismatched group of enthusiasts, all with less than selfless reasons for making the journey. Traveling through the uncharted Amazon jungle to this prehistoric plateau, the group encounters incredible adventures: tribal headhunters, vicious ape men, giant crocodiles, and terrifying dinosaurs!"
Army Wives,"Army Wives follows the struggles, dreams and friendships of a diverse group of women—and one man—living with their spouses and families on an active Army post."
Louie,Louie is a comedy filtered through the observational humor of Louis C.K. Each episode puts a spotlight on Louis' hectic life as a successful stand-up comedian and newly single father raising his two daughters. The single-camera comedy is a mix of Louis C.K.'s stand-up comedy and scripted short films.
In Plain Sight,"In Plain Sight follows the story of a Federal Marshall with the Witness Protection program who must hide her high-risk, high-impact job from her family. To those that know her, Mary Shannon is a glorified meter maid, but her real job is much more dangerous. She must oversee federal witnesses who have been relocated through the Witness Protection program and make sure that they stay safe."
Hustle,"Hustle is a series that follows a group of con artists who specialise in ""long cons""—extended deceptions which require greater commitment, but which return a higher reward than simple confidence tricks."
Boss,"Boss is an American political drama television series staring Kelsey Grammer as Tom Kane, the mayor of Chicago, who has recently been diagnosed with dementia with Lewy bodies, a degenerative neurological disorder."
Dirty Jobs,Dirty Jobs videos follow the unsung laborers who make a living in some of the most unthinkable ways.
The Closer,"Deputy Police Chief Brenda Leigh Johnson transfers from Atlanta to Los Angeles to head up a special unit of the LAPD that handles sensitive, high-profile murder cases. Despite a tendency to step on people's toes, Johnson manages to convert even her strongest adversaries with her unique ability to get to the truth, and more importantly, to close cases."
Sinbad,"Sinbad is a young man on a quest for redemption, condemned to keep searching for a way to lift the curse that chains him to the seas, until he can find the goodness in himself. Sinbad provides for himself and his family by fighting for money, but inadvertently kills a man, causing him to escape to sea as a stowaway. The 8th century Arabia is a melting pot of cultures, faiths and creatures; full of life and color, but also threatening and volatile. Before their journey is over, Sinbad and his crew of outcasts will not only have to brave their own demons, but some of the most dangerous enemies imaginable."
Hardcore Pawn,"Hardcore Pawn takes viewers behind the scenes of the immense American Jewelry &amp; Loan, a family business owned by third-generation pawnbroker Les Gold. Working with Les are his son, Seth, who is being groomed to eventually take over the store, and daughter, Ashley, who thinks Seth isn't ready for the top job."
